path,sha256,size_bytes
.devcontainer/devcontainer.json,1da4b571d0b4d6c2a3f44c64bf3d6d7879b733b7a00e6dbd6b57485a1993fc0c,1046
.dockerignore,87ced353e7e2d41a8fadec5bc23befac728888f3332ba9a8460825efbc3b4e7e,506
.env.example,64c791bf818a6181f31337c05a0faeb39f24795a5e3339a23be09930fd508d84,309
.gitignore,5d637c18ae398a67f8dbb980d5216df858064a7ef5b0bce3d27fca80b3c09900,692
.streamlit/config.toml,35629309740772861295b7f549270e86e12fc8de0b7516150b12b86cba9efe8d,229
AGENTS.md,ae8c8f518d575daa3eaddbe9f2b251281a103da212bc65e345bb0abb115331ca,9502
ARCHITECTURE.md,6030e730643195ed787a7f3dc61ff61b4013d76c86824ef2d039da4202436f9c,10673
CHANGELOG.md,6e9cdee3d92b355d18a22a92733e0ebf4b84dda4a362b4d1a93a0d1176438f68,6998
Dockerfile,b497b83db7a221f9888f333eccee2aa3fba3ccf211f0fdfc1f68859d8350dbd4,487
PROJECT_AUDIT_2026.md,8fbe8096933e5c9e010130c1eea0ae39c64bb6b00147549da7546d70e12f5bae,68202
PROJECT_REMEDIATION_LOG.md,b2e1a8e4f7cd30d9020bb0b122ebaefed5eb53b1236a165707843696dea592c3,10414
PROJECT_REMEDIATION_PLAN.md,725b8020122307bb56934cbe07114220f95e0c6b4929f2f82aecd162ebdd90f6,18090
README.md,1ad4dc493adbc4c881fbd0fc5b7fb1c07a1a468c1e463330bc7fa280f0eae643,24485
app.py,abbcc1edce68afc57238b905180c1f99de9007c51953394a0c305a408292f93a,23262
data/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
docs/DAILY_PROGRESS.md,2da855d39847e5e575ad98d1c20c08cbb6eab1589e4ead634118382eb97d6ac6,8101
docs/NEXT_ACTION.md,535fb98742267028deaaf801151dc963c1f3c15e05855054b765c47029cbea9c,4788
docs/PROJECT_STATUS.md,f00ddaadf0874060504ed93148ed61ab6775f892ca99cde677dda2d5852b4f64,8192
docs/REPORT_GENERATOR_LOCALIZATION_REPORT.md,bc8313a7871523828b8e37587792b375a0c35aebb881d45e3d94b4db42d53973,4005
docs/REVIEWER_TRACKER.md,1f10a842e6999fa726f108e5597acf145cde6db56ef735f91b74909d15565e1d,19209
docs/UI_CLEANUP_REPORT.md,887af880123c4c60bb1db23e982d99b387a0b780ecd2ceee7e4759d162e51524,5581
docs/UI_UX_REDESIGN_REPORT.md,38727330d813ae304b2637c9e7c931d41c08d0f596999dc12006477dea2de17d,3414
docs/UI_VISIBLE_TEXT_INVENTORY.md,1a63362a4719f990e1039ed92fc5fe3c9da91e596bc14a78fbbcc1b06c4ed57e,5634
docs/WEBSITE_FUNCTIONAL_TEST_REPORT.md,264e2ceee79b83225e9280089a54ba4e8e07104300b1a6667bbe8b89274e03b8,4361
docs/architecture.md,8fe59c946b985c4c97b80351e66a50100f9841639ffb53935e21acdc7b966920,8158
docs/data_snapshot_protocol.md,8be4154d523f16352008052824ee325541d29e836d953364278693f4c2f450a3,5537
docs/known_issues.md,0da15e31f4c340233a9fc271938641f07f553b654adfd303d9248f8d28275598,13102
docs/phase1_checklist.md,f739583f50e181275fc4b176c35913aea2921c1389db4a6e2fa1926cedc6cb0f,28371
docs/phase1_execution_plan.md,d2bdddac6ed336d6ca88dbf96784054945defc67c4f8f63a3ca3b45bdeac87bd,32080
docs/phase1_priority.md,6cceba5c5a09a22c7beb85ef35ef0b5e58870e1ec43dc6e8a12e7523c278c20e,21533
docs/portfolio_introduction.md,486fef7bd7e2c372da7b5295af14f2fc0bb52fdfe6edbc9dde83804fa8fffe2f,17585
docs/refactor_history.md,37e60fa2904a74695085f8e5e4094d7fe2c1bacef3e74ab162a6dbb6e3fab0ab,10035
docs/research_proposal.md,3199d2b551a9827f47110c295f33a4ff547f930a8ffbae3368546f8360374738,20136
docs/research_report_v1.md,48f63012e3e3f88e1718dc5105c624f765b3077be09612532ecfba94aba3cb15,27901
docs/roadmap.md,01784f3a4b850f7d59196b6390c7e8d09ef863af439c6537ddd0d26ba5dd8c15,5508
docs/statistical_engine_policy.md,aae20bbd19bd15443302e840ae709cd9b68f492089e8b88843dbc0d071c9b3a5,3629
docs/technical_whitepaper.md,27012973631c3590778dcc164dfd46c89c027105cdb5c9ab61339e8e6abc804d,11908
environment.yml,a6e2ce37b426d41632fe33a8c4d54eed10663e9b256ccffb5110e2dc29ef2bec,676
exports/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
modules/__init__.py,8014b561e859266fcbc6df0f2ec981be6634b1765af2247b32a9d7bd473a99d5,272
modules/cross_sectional_ic.py,f85d98571309c1a42ab98bcb738f7d3651c2226d1981a3e05b66f7bfeb2532ff,15519
modules/data_quality.py,3e68d677fea688b30394cbb136bf0113633b87721da833491d1e55927f5e94e4,28604
modules/data_source.py,37776d4ebe440432e9824b229960734a543fa506c79cf0839362841e8553750c,6208
modules/daytrade_scanner.py,031d4bc0ddc8f114db1d6dbc272262a8fcd80e5d73df700cb5dad670694f1dcd,10736
modules/entry_exit_model.py,e5b607f6af14d288f32fcbc524d2ff972e55663753950579ed5a30761a63e5f8,9707
modules/event_window.py,9351e11f5b2ed275677e66ffb6f19d3769a0496196c55a0724c39004dc7b00cb,9407
modules/explainability.py,231dd0a5af81530275598c94aa8de9e8d1555238debd5b4b281ceff71e9b9bba,16730
modules/factor_portfolio.py,44717cf62e086e9fd8d4dae20ef1cd7be178fa8886d7c369e9def2e843c32ae4,21955
modules/fama_macbeth.py,7a7be8b932a746c856f3c4f185363fdfa4791dde963ea9d208919991fc58c85e,17875
modules/feature_engineering.py,523424e052f9df15e0fa90ccd740b6b7a6abd781ffb72a4fc3d76132ec8b5ea9,6891
